step,train_loss,val_loss,lr,time_ms
0,4.2890,4.2862,0.00e+00,6
250,2.7339,2.7773,2.99e-04,74
500,2.4666,2.6060,2.96e-04,73
750,2.2699,2.4516,2.88e-04,73
1000,2.1338,2.3632,2.78e-04,74
1250,2.0319,2.2845,2.65e-04,74
1500,1.9637,2.2326,2.49e-04,74
1750,1.9045,2.1967,2.31e-04,74
2000,1.8451,2.1802,2.12e-04,74
2250,1.8098,2.1729,1.91e-04,74
2500,1.7462,2.1652,1.69e-04,74
2750,1.7119,2.1686,1.48e-04,74
3000,1.6683,2.1559,1.27e-04,74
3250,1.6347,2.1568,1.06e-04,74
3500,1.6120,2.1707,8.78e-05,74
3750,1.5803,2.1676,7.11e-05,74
4000,1.5472,2.1742,5.68e-05,74
4250,1.5252,2.1659,4.53e-05,74
4500,1.5172,2.1699,3.69e-05,74
4750,1.5055,2.1862,3.17e-05,74
step,train_loss,val_loss,lr,time_ms
0,4.2890,4.2862,0.00e+00,6
250,2.7339,2.7772,2.99e-04,74
500,2.4672,2.6066,2.96e-04,73
750,2.2700,2.4515,2.88e-04,73
1000,2.1344,2.3621,2.78e-04,74
1250,2.0317,2.2827,2.65e-04,74
1500,1.9628,2.2318,2.49e-04,74
1750,1.9055,2.1966,2.31e-04,74
2000,1.8446,2.1803,2.12e-04,74
2250,1.8077,2.1692,1.91e-04,74
2500,1.7460,2.1668,1.69e-04,74
2750,1.7108,2.1672,1.48e-04,74
3000,1.6686,2.1547,1.27e-04,74
3250,1.6344,2.1579,1.06e-04,74
3500,1.6102,2.1729,8.78e-05,74
3750,1.5789,2.1716,7.11e-05,74
4000,1.5465,2.1761,5.68e-05,74
4250,1.5243,2.1682,4.53e-05,74
4500,1.5155,2.1710,3.69e-05,74
4750,1.5040,2.1896,3.17e-05,74
step,train_loss,val_loss,lr,time_ms
0,4.2890,4.2862,0.00e+00,6
250,2.7289,2.7724,2.99e-04,74
500,2.4606,2.6030,2.96e-04,73
750,2.2699,2.4506,2.88e-04,73
1000,2.1336,2.3633,2.78e-04,74
1250,2.0321,2.2828,2.65e-04,74
1500,1.9649,2.2363,2.49e-04,74
1750,1.9067,2.1994,2.31e-04,74
2000,1.8467,2.1834,2.12e-04,74
2250,1.8078,2.1694,1.91e-04,74
2500,1.7466,2.1702,1.69e-04,74
2750,1.7147,2.1746,1.48e-04,74
3000,1.6696,2.1575,1.27e-04,74
3250,1.6353,2.1623,1.06e-04,74
3500,1.6102,2.1746,8.78e-05,74
3750,1.5799,2.1756,7.11e-05,74
4000,1.5478,2.1763,5.68e-05,74
4250,1.5265,2.1679,4.53e-05,74
4500,1.5182,2.1732,3.69e-05,74
4750,1.5069,2.1909,3.17e-05,74
step,train_loss,val_loss,lr,time_ms
0,4.2890,4.2862,0.00e+00,6
250,2.7266,2.7700,2.99e-04,74
500,2.4602,2.6018,2.96e-04,74
750,2.2711,2.4514,2.88e-04,74
1000,2.1348,2.3596,2.78e-04,74
1250,2.0342,2.2848,2.65e-04,74
1500,1.9647,2.2333,2.49e-04,74
1750,1.9051,2.1965,2.31e-04,74
2000,1.8447,2.1857,2.12e-04,74
2250,1.8096,2.1724,1.91e-04,74
2500,1.7471,2.1669,1.69e-04,74
2750,1.7137,2.1721,1.48e-04,74
3000,1.6693,2.1556,1.27e-04,74
3250,1.6359,2.1605,1.06e-04,74
3500,1.6106,2.1740,8.78e-05,74
3750,1.5813,2.1679,7.11e-05,74
4000,1.5507,2.1748,5.68e-05,74
4250,1.5268,2.1665,4.53e-05,74
4500,1.5187,2.1717,3.69e-05,74
4750,1.5069,2.1899,3.17e-05,74
step,train_loss,val_loss,lr,time_ms
0,4.2890,4.2862,0.00e+00,6
250,2.7334,2.7766,2.99e-04,73
500,2.4623,2.6029,2.96e-04,74
750,2.2707,2.4538,2.88e-04,74
1000,2.1341,2.3619,2.78e-04,74
1250,2.0331,2.2856,2.65e-04,74
1500,1.9634,2.2314,2.49e-04,74
1750,1.9046,2.1956,2.31e-04,74
2000,1.8449,2.1825,2.12e-04,74
2250,1.8064,2.1687,1.91e-04,74
2500,1.7467,2.1660,1.69e-04,74
2750,1.7126,2.1662,1.48e-04,74
3000,1.6692,2.1532,1.27e-04,74
3250,1.6368,2.1543,1.06e-04,74
3500,1.6118,2.1712,8.78e-05,74
3750,1.5791,2.1682,7.11e-05,74
4000,1.5494,2.1716,5.68e-05,74
4250,1.5249,2.1621,4.53e-05,74
4500,1.5181,2.1698,3.69e-05,74
4750,1.5062,2.1843,3.17e-05,74
